duke_major
AAAS
AMES
AMI
ARAB
ARABIC
ARTHIST
ARTVIS
BIO
BIOCHEM
BIOLOGY
BME
CANADIAN
CEE
CHEM
CHINESE
CLST
COMPSCI
CULANTH
DANCE
DOCST
ECE
ECON
EDUC
EGR
ENERGY
ENGLISH
ENRGYEGR
ENVIRON
EOS
ETHICS
EVANTH
EVIRON
FRENCH
GERMAN
GLHLTH
GREEK
GSF
HEBREW
HISTORY
HUMANDEV
HUNGARN
I&E
ICS
ISS
ITALIAN
JEWISHST
JPN
KOREAN
LATAMER
LATIN
LINGUIST
LIT
MATH
ME
MEDREN
MMS
MUSIC
NEUROSCI
PHARM
PHIL
PHYS
PHYSEDU
PHYSICS
PJMS
POLSCI
PORTUGUE
PSY
PUBPOL
RELIGION
ROMST
RUSSIAN
SES
SOCIOL
SOCIOLOGY
SPANISH
THEATRST
VMS
